"","VAR","COU","PAR","IND","TIME_FORMAT","UNIT","POWERCODE","obsTime","obsValue"
"181","FD_CO2","BEL","WLD","D45T47","P1Y","TONNE","6","2018",2.419
"182","FD_CO2","BEL","WLD","D49T53","P1Y","TONNE","6","2018",18.96
"183","FD_CO2","BEL","WLD","D49","P1Y","TONNE","6","2018",5.725
"184","FD_CO2","BEL","WLD","D50","P1Y","TONNE","6","2018",5.527
"185","FD_CO2","BEL","WLD","D51","P1Y","TONNE","6","2018",6.603
"186","FD_CO2","BEL","WLD","D52","P1Y","TONNE","6","2018",0.79
"187","FD_CO2","BEL","WLD","D53","P1Y","TONNE","6","2018",0.315
"188","FD_CO2","BEL","WLD","D55T56","P1Y","TONNE","6","2018",0.329
"189","FD_CO2","BEL","WLD","D58T63","P1Y","TONNE","6","2018",0.727
"190","FD_CO2","BEL","WLD","D58T60","P1Y","TONNE","6","2018",0.141
"191","FD_CO2","BEL","WLD","D61","P1Y","TONNE","6","2018",0.259
"192","FD_CO2","BEL","WLD","D62T63","P1Y","TONNE","6","2018",0.327
"193","FD_CO2","BEL","WLD","D64T66","P1Y","TONNE","6","2018",0.777
"194","FD_CO2","BEL","WLD","D68","P1Y","TONNE","6","2018",0.74
"195","FD_CO2","BEL","WLD","D69T82","P1Y","TONNE","6","2018",2.301
"196","FD_CO2","BEL","WLD","D69T75","P1Y","TONNE","6","2018",1.161
"197","FD_CO2","BEL","WLD","D77T82","P1Y","TONNE","6","2018",1.14
"198","FD_CO2","BEL","WLD","D84T98","P1Y","TONNE","6","2018",3.022
"199","FD_CO2","BEL","WLD","D84T88","P1Y","TONNE","6","2018",2.726
"200","FD_CO2","BEL","WLD","D84","P1Y","TONNE","6","2018",1.183
"201","FD_CO2","BEL","WLD","D85","P1Y","TONNE","6","2018",0.501
"202","FD_CO2","BEL","WLD","D86T88","P1Y","TONNE","6","2018",1.041
"203","FD_CO2","BEL","WLD","D90T98","P1Y","TONNE","6","2018",0.297
"204","FD_CO2","BEL","WLD","D90T96","P1Y","TONNE","6","2018",0.297
"205","FD_CO2","BEL","WLD","D90T93","P1Y","TONNE","6","2018",0.131
"206","FD_CO2","BEL","WLD","D94T96","P1Y","TONNE","6","2018",0.166
"207","FD_CO2","BEL","WLD","D97T98","P1Y","TONNE","6","2018",0
"208","FD_CO2","BEL","WLD","D05T39","P1Y","TONNE","6","2018",65.502
"209","FD_CO2","BEL","WLD","D41T98","P1Y","TONNE","6","2018",30.56
"210","FD_CO2","BEL","WLD","D45T98","P1Y","TONNE","6","2018",29.276
"211","FD_CO2","BEL","WLD","D58T82","P1Y","TONNE","6","2018",4.546
"212","FD_CO2","BEL","WLD","DINFO","P1Y","TONNE","6","2018",0.899
"213","FD_CO2","BEL","WLD","DMHH","P1Y","TONNE","6","2018",28.001
"214","FD_CO2","CAN","WLD","DTOTAL","P1Y","TONNE","6","2018",535.783
"215","FD_CO2","CAN","WLD","D01T03","P1Y","TONNE","6","2018",15.618
"216","FD_CO2","CAN","WLD","D01T02","P1Y","TONNE","6","2018",15.322
"217","FD_CO2","CAN","WLD","D03","P1Y","TONNE","6","2018",0.296
"218","FD_CO2","CAN","WLD","D05T09","P1Y","TONNE","6","2018",28.351
"219","FD_CO2","CAN","WLD","D05T06","P1Y","TONNE","6","2018",23.215
"220","FD_CO2","CAN","WLD","D07T08","P1Y","TONNE","6","2018",2.979
"221","FD_CO2","CAN","WLD","D09","P1Y","TONNE","6","2018",2.157
"222","FD_CO2","CAN","WLD","D10T33","P1Y","TONNE","6","2018",110.566
"223","FD_CO2","CAN","WLD","D10T12","P1Y","TONNE","6","2018",4.811
"224","FD_CO2","CAN","WLD","D13T15","P1Y","TONNE","6","2018",0.899
"225","FD_CO2","CAN","WLD","D16T18","P1Y","TONNE","6","2018",5.801
"226","FD_CO2","CAN","WLD","D16","P1Y","TONNE","6","2018",2.012
"227","FD_CO2","CAN","WLD","D17T18","P1Y","TONNE","6","2018",3.788
"228","FD_CO2","CAN","WLD","D19T23","P1Y","TONNE","6","2018",59.475
"229","FD_CO2","CAN","WLD","D19","P1Y","TONNE","6","2018",31.401
"230","FD_CO2","CAN","WLD","D20T21","P1Y","TONNE","6","2018",11.831
"231","FD_CO2","CAN","WLD","D20","P1Y","TONNE","6","2018",9.549
"232","FD_CO2","CAN","WLD","D21","P1Y","TONNE","6","2018",2.282
"233","FD_CO2","CAN","WLD","D22","P1Y","TONNE","6","2018",7.055
"234","FD_CO2","CAN","WLD","D23","P1Y","TONNE","6","2018",9.188
"235","FD_CO2","CAN","WLD","D24T25","P1Y","TONNE","6","2018",28.724
"236","FD_CO2","CAN","WLD","D24","P1Y","TONNE","6","2018",27.823
"237","FD_CO2","CAN","WLD","D25","P1Y","TONNE","6","2018",0.902
"238","FD_CO2","CAN","WLD","D26T27","P1Y","TONNE","6","2018",1.135
"239","FD_CO2","CAN","WLD","D26","P1Y","TONNE","6","2018",0.73
"240","FD_CO2","CAN","WLD","D27","P1Y","TONNE","6","2018",0.405
"241","FD_CO2","CAN","WLD","D28","P1Y","TONNE","6","2018",0.779
"242","FD_CO2","CAN","WLD","D29T30","P1Y","TONNE","6","2018",1.126
"243","FD_CO2","CAN","WLD","D29","P1Y","TONNE","6","2018",0.868
"244","FD_CO2","CAN","WLD","D30","P1Y","TONNE","6","2018",0.258
"245","FD_CO2","CAN","WLD","D31T33","P1Y","TONNE","6","2018",7.816
"246","FD_CO2","CAN","WLD","D35T39","P1Y","TONNE","6","2018",121.194
"247","FD_CO2","CAN","WLD","D35","P1Y","TONNE","6","2018",119.895
"248","FD_CO2","CAN","WLD","D36T39","P1Y","TONNE","6","2018",1.299
"249","FD_CO2","CAN","WLD","D41T43","P1Y","TONNE","6","2018",19.268
"250","FD_CO2","CAN","WLD","D45T82","P1Y","TONNE","6","2018",108.667
"251","FD_CO2","CAN","WLD","D45T56","P1Y","TONNE","6","2018",83.205
"252","FD_CO2","CAN","WLD","D45T47","P1Y","TONNE","6","2018",11.605
"253","FD_CO2","CAN","WLD","D49T53","P1Y","TONNE","6","2018",69.601
"254","FD_CO2","CAN","WLD","D49","P1Y","TONNE","6","2018",29.101
"255","FD_CO2","CAN","WLD","D50","P1Y","TONNE","6","2018",10.691
"256","FD_CO2","CAN","WLD","D51","P1Y","TONNE","6","2018",25.869
"257","FD_CO2","CAN","WLD","D52","P1Y","TONNE","6","2018",1.76
"258","FD_CO2","CAN","WLD","D53","P1Y","TONNE","6","2018",2.181
"259","FD_CO2","CAN","WLD","D55T56","P1Y","TONNE","6","2018",1.999
"260","FD_CO2","CAN","WLD","D58T63","P1Y","TONNE","6","2018",3.979
"261","FD_CO2","CAN","WLD","D58T60","P1Y","TONNE","6","2018",0.866
"262","FD_CO2","CAN","WLD","D61","P1Y","TONNE","6","2018",1.838
"263","FD_CO2","CAN","WLD","D62T63","P1Y","TONNE","6","2018",1.274
"264","FD_CO2","CAN","WLD","D64T66","P1Y","TONNE","6","2018",5.672
"265","FD_CO2","CAN","WLD","D68","P1Y","TONNE","6","2018",7.42
"266","FD_CO2","CAN","WLD","D69T82","P1Y","TONNE","6","2018",8.39
"267","FD_CO2","CAN","WLD","D69T75","P1Y","TONNE","6","2018",3.407
"268","FD_CO2","CAN","WLD","D77T82","P1Y","TONNE","6","2018",4.983
"269","FD_CO2","CAN","WLD","D84T98","P1Y","TONNE","6","2018",21.554
"270","FD_CO2","CAN","WLD","D84T88","P1Y","TONNE","6","2018",19.353
"271","FD_CO2","CAN","WLD","D84","P1Y","TONNE","6","2018",8.266
"272","FD_CO2","CAN","WLD","D85","P1Y","TONNE","6","2018",4.833
"273","FD_CO2","CAN","WLD","D86T88","P1Y","TONNE","6","2018",6.253
"274","FD_CO2","CAN","WLD","D90T98","P1Y","TONNE","6","2018",2.201
"275","FD_CO2","CAN","WLD","D90T96","P1Y","TONNE","6","2018",2.201
"276","FD_CO2","CAN","WLD","D90T93","P1Y","TONNE","6","2018",0.825
"277","FD_CO2","CAN","WLD","D94T96","P1Y","TONNE","6","2018",1.376
"278","FD_CO2","CAN","WLD","D97T98","P1Y","TONNE","6","2018",0
"279","FD_CO2","CAN","WLD","D05T39","P1Y","TONNE","6","2018",260.111
"280","FD_CO2","CAN","WLD","D41T98","P1Y","TONNE","6","2018",149.489
"281","FD_CO2","CAN","WLD","D45T98","P1Y","TONNE","6","2018",130.221
"282","FD_CO2","CAN","WLD","D58T82","P1Y","TONNE","6","2018",25.462
"283","FD_CO2","CAN","WLD","DINFO","P1Y","TONNE","6","2018",4.709
"284","FD_CO2","CAN","WLD","DMHH","P1Y","TONNE","6","2018",110.565
"285","FD_CO2","CHL","WLD","DTOTAL","P1Y","TONNE","6","2018",95.625
"286","FD_CO2","CHL","WLD","D01T03","P1Y","TONNE","6","2018",2.166
"287","FD_CO2","CHL","WLD","D01T02","P1Y","TONNE","6","2018",1.556
"288","FD_CO2","CHL","WLD","D03","P1Y","TONNE","6","2018",0.61
"289","FD_CO2","CHL","WLD","D05T09","P1Y","TONNE","6","2018",4.725
"290","FD_CO2","CHL","WLD","D05T06","P1Y","TONNE","6","2018",3.559
"291","FD_CO2","CHL","WLD","D07T08","P1Y","TONNE","6","2018",1.094
"292","FD_CO2","CHL","WLD","D09","P1Y","TONNE","6","2018",0.072
"293","FD_CO2","CHL","WLD","D10T33","P1Y","TONNE","6","2018",18.828
"294","FD_CO2","CHL","WLD","D10T12","P1Y","TONNE","6","2018",0.623
"295","FD_CO2","CHL","WLD","D13T15","P1Y","TONNE","6","2018",0.244
"296","FD_CO2","CHL","WLD","D16T18","P1Y","TONNE","6","2018",0.797
"297","FD_CO2","CHL","WLD","D16","P1Y","TONNE","6","2018",0.046
"298","FD_CO2","CHL","WLD","D17T18","P1Y","TONNE","6","2018",0.751
"299","FD_CO2","CHL","WLD","D19T23","P1Y","TONNE","6","2018",8.788
"300","FD_CO2","CHL","WLD","D19","P1Y","TONNE","6","2018",2.289
"301","FD_CO2","CHL","WLD","D20T21","P1Y","TONNE","6","2018",2.064
"302","FD_CO2","CHL","WLD","D20","P1Y","TONNE","6","2018",1.812
"303","FD_CO2","CHL","WLD","D21","P1Y","TONNE","6","2018",0.252
"304","FD_CO2","CHL","WLD","D22","P1Y","TONNE","6","2018",2.544
"305","FD_CO2","CHL","WLD","D23","P1Y","TONNE","6","2018",1.892
"306","FD_CO2","CHL","WLD","D24T25","P1Y","TONNE","6","2018",6.74
"307","FD_CO2","CHL","WLD","D24","P1Y","TONNE","6","2018",6.635
"308","FD_CO2","CHL","WLD","D25","P1Y","TONNE","6","2018",0.105
"309","FD_CO2","CHL","WLD","D26T27","P1Y","TONNE","6","2018",0.213
"310","FD_CO2","CHL","WLD","D26","P1Y","TONNE","6","2018",0.1
"311","FD_CO2","CHL","WLD","D27","P1Y","TONNE","6","2018",0.113
"312","FD_CO2","CHL","WLD","D28","P1Y","TONNE","6","2018",0.135
"313","FD_CO2","CHL","WLD","D29T30","P1Y","TONNE","6","2018",0.168
"314","FD_CO2","CHL","WLD","D29","P1Y","TONNE","6","2018",0.115
"315","FD_CO2","CHL","WLD","D30","P1Y","TONNE","6","2018",0.053
"316","FD_CO2","CHL","WLD","D31T33","P1Y","TONNE","6","2018",1.121
"317","FD_CO2","CHL","WLD","D35T39","P1Y","TONNE","6","2018",30.889
"318","FD_CO2","CHL","WLD","D35","P1Y","TONNE","6","2018",30.768
"319","FD_CO2","CHL","WLD","D36T39","P1Y","TONNE","6","2018",0.121
"320","FD_CO2","CHL","WLD","D41T43","P1Y","TONNE","6","2018",1.251
"321","FD_CO2","CHL","WLD","D45T82","P1Y","TONNE","6","2018",19.134
"322","FD_CO2","CHL","WLD","D45T56","P1Y","TONNE","6","2018",17.599
"323","FD_CO2","CHL","WLD","D45T47","P1Y","TONNE","6","2018",1.287
"324","FD_CO2","CHL","WLD","D49T53","P1Y","TONNE","6","2018",16.146
"325","FD_CO2","CHL","WLD","D49","P1Y","TONNE","6","2018",6.888
"326","FD_CO2","CHL","WLD","D50","P1Y","TONNE","6","2018",2.872
"327","FD_CO2","CHL","WLD","D51","P1Y","TONNE","6","2018",6.026
"328","FD_CO2","CHL","WLD","D52","P1Y","TONNE","6","2018",0.293
"329","FD_CO2","CHL","WLD","D53","P1Y","TONNE","6","2018",0.067
"330","FD_CO2","CHL","WLD","D55T56","P1Y","TONNE","6","2018",0.165
"331","FD_CO2","CHL","WLD","D58T63","P1Y","TONNE","6","2018",0.221
"332","FD_CO2","CHL","WLD","D58T60","P1Y","TONNE","6","2018",0.064
"333","FD_CO2","CHL","WLD","D61","P1Y","TONNE","6","2018",0.089
"334","FD_CO2","CHL","WLD","D62T63","P1Y","TONNE","6","2018",0.068
